datetime,run_id,subject,practice,seed,block_order,block_label,predator_dots,block_duration_s,n_frames,n_trials,n_chases,n_hits,n_misses,n_false_alarms,n_unresolved,n_discarded,n_other_keys,time_at_risk_s,frmrate_measured,n_dropped_frames,completed
2026-09-04T16:31:35.976,40143a00,1,0,1,1,2 predators,2,9.335,758,3,2,2,0,0,0,0,0,1.855,60.000,1,0
2026-09-04T16:36:49.845,018928b7,1,0,1,1,2 predators,2,20.651,2054,4,2,2,0,1,0,0,0,15.195,60.000,1,0
